コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
2220	亀田製菓	未保有	対象外	1209	対象外	17.78	0.74	4.18	1.99	54.68	5.45	食料品	📈【B】 2026/05/13 決算。売上+33.69、純利益+354.99。 【ファンダメンタル確認値】現在値1209、PER17.78、PBR0.74、ROE4.18、配当利回り1.99、自己資本比率54.68、営業利益率5.45 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2229	カルビー	未保有	対象外	2898	対象外	20.25	1.67	8.26	2.38	64.28	9.60	食料品	📈【A】 2026/06/26 価格改定、2026/06/02 自己株式取得関連。 【ファンダメンタル確認値】現在値2898、PER20.25、PBR1.67、ROE8.26、配当利回り2.38、自己資本比率64.28、営業利益率9.60 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2269	明治ホールディングス	未保有	対象外	3786	対象外	16.42	1.33	8.09	2.91	61.23	7.73	食料品	📈【B】 26/3期営業利益+7.44、経常利益+13.40予想。 【ファンダメンタル確認値】現在値3786、PER16.42、PBR1.33、ROE8.09、配当利回り2.91、自己資本比率61.23、営業利益率7.73 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2270	雪印メグミルク	未保有	対象外	3685	対象外	9.11	0.94	10.31	2.71	55.68	2.97	食料品	📈【A】 2026/06/02 自己株式取得状況、代表取締役異動。 【ファンダメンタル確認値】現在値3685、PER9.11、PBR0.94、ROE10.31、配当利回り2.71、自己資本比率55.68、営業利益率2.97 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2282	日本ハム	未保有	対象外	6091	対象外	15.09	1.07	7.08	8.87	53.83	3.95	食料品	📈【S】 2026/05/08 自己株式取得枠、株式分割、優待変更。 【ファンダメンタル確認値】現在値6091、PER15.09、PBR1.07、ROE7.08、配当利回り8.87、自己資本比率53.83、営業利益率3.95 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2288	丸大食品	未保有	対象外	2239	対象外	8.50	0.71	8.41	3.57	61.07	2.33	食料品	📈【B】 2026/06/01 自己株式取得状況、2026/05/14 中間配当制度導入。 【ファンダメンタル確認値】現在値2239、PER8.50、PBR0.71、ROE8.41、配当利回り3.57、自己資本比率61.07、営業利益率2.33 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2331	綜合警備保障	未保有	対象外	1067	対象外	13.90	1.35	9.72	3.09	56.83	7.86	サービス業	📈【B】 2026/06/05 TOB関連訂正、2026/06/01 自己株式取得状況。 【ファンダメンタル確認値】現在値1067、PER13.90、PBR1.35、ROE9.72、配当利回り3.09、自己資本比率56.83、営業利益率7.86 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2334	イオレ	未保有	対象外	606	対象外	19.55	7.10	36.31	0.00	31.63	1.41	サービス業	📉【D】 2026/06/19 Anthropic投資目的SPV持分取得契約解消。 【ファンダメンタル確認値】現在値606、PER19.55、PBR7.10、ROE36.31、配当利回り0.00、自己資本比率31.63、営業利益率1.41 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2341	アルバイトタイムス	未保有	対象外	159	対象外	20.92	1.02	4.87	3.14	79.04	3.39	サービス業	➖【C】 2026/04/09 自己株式消却、財務安全性は高いがROE低め。 【ファンダメンタル確認値】現在値159、PER20.92、PBR1.02、ROE4.87、配当利回り3.14、自己資本比率79.04、営業利益率3.39 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2371	カカクコム	未保有	対象外	3310	対象外	31.63	10.08	31.85	1.63	70.28	28.94	サービス業	📈【A】 2026/06/04 公開買付関連訂正、ROE高いがPBR高い。 【ファンダメンタル確認値】現在値3310、PER31.63、PBR10.08、ROE31.85、配当利回り1.63、自己資本比率70.28、営業利益率28.94 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2378	ルネサンス	未保有	対象外	996	対象外	37.68	1.95	5.17	1.31	16.97	2.65	サービス業	📉【D】 26/3期純損失21.06億円、減損30.56億円。 【ファンダメンタル確認値】現在値996、PER37.68、PBR1.95、ROE5.17、配当利回り1.31、自己資本比率16.97、営業利益率2.65 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2412	ベネフィット・ワン	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	サービス業	➖【C】 上場廃止/第一生命HD完全子会社化済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2432	ディー・エヌ・エー	未保有	対象外	2358	対象外	13.29	1.09	8.19	2.80	69.81	12.66	サービス業	📈【A】 2026/06/16 GO上場に伴う持分法投資利益計上。 【ファンダメンタル確認値】現在値2358、PER13.29、PBR1.09、ROE8.19、配当利回り2.80、自己資本比率69.81、営業利益率12.66 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2531	宝ホールディングス	未保有	対象外	2230	対象外	36.14	1.66	4.59	1.39	50.50	4.33	食料品	📉【D】 26/3期営業利益-17.1、純利益-27.8。 【ファンダメンタル確認値】現在値2230、PER36.14、PBR1.66、ROE4.59、配当利回り1.39、自己資本比率50.50、営業利益率4.33 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2587	サントリー食品インターナショナル	未保有	対象外	4449	対象外	15.45	1.05	6.77	2.70	60.31	8.67	食料品	📈【B】 2026/06/18 価格改定、2026/05/13 1Q決算。 【ファンダメンタル確認値】現在値4449、PER15.45、PBR1.05、ROE6.77、配当利回り2.70、自己資本比率60.31、営業利益率8.67 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2670	エービーシー・マート	未保有	対象外	2850	対象外	15.21	1.77	11.66	2.81	87.45	16.71	小売業	📈【A】 2026/06/01 韓国FOLDER事業譲受け。 【ファンダメンタル確認値】現在値2850、PER15.21、PBR1.77、ROE11.66、配当利回り2.81、自己資本比率87.45、営業利益率16.71 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2678	アスクル	未保有	対象外	1212	対象外	16.44	1.95	11.85	0.83	25.08	-5.19	小売業	📈【B】 2026/06/03 代表取締役異動、月次開示。 【ファンダメンタル確認値】現在値1212、PER16.44、PBR1.95、ROE11.85、配当利回り0.83、自己資本比率25.08、営業利益率-5.19 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2695	くら寿司	未保有	対象外	1574	対象外	41.70	1.95	4.67	0.95	39.11	1.98	小売業	➖【C】 2026/06/12 2Q決算。高PER・低ROE。 【ファンダメンタル確認値】現在値1574、PER41.70、PBR1.95、ROE4.67、配当利回り0.95、自己資本比率39.11、営業利益率1.98 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2698	キャンドゥ	未保有	対象外	3405	対象外	121.08	5.17	4.27	0.50	31.92	1.76	小売業	➖【C】 2026/06/08 月次、PER高くROE低め。 【ファンダメンタル確認値】現在値3405、PER121.08、PBR5.17、ROE4.27、配当利回り0.50、自己資本比率31.92、営業利益率1.76 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2751	テンポスホールディングス	未保有	対象外	3670	対象外	16.02	2.51	15.64	0.25	60.35	5.39	卸売業	📈【B】 2026/06/10 26/4期決算。 【ファンダメンタル確認値】現在値3670、PER16.02、PBR2.51、ROE15.64、配当利回り0.25、自己資本比率60.35、営業利益率5.39 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2764	ひらまつ	未保有	対象外	140	対象外	34.34	1.62	4.73	0.87	51.16	2.02	小売業	📈【B】 27/3期営業利益+70.4予想、復配予定。 【ファンダメンタル確認値】現在値140、PER34.34、PBR1.62、ROE4.73、配当利回り0.87、自己資本比率51.16、営業利益率2.02 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2802	味の素	未保有	対象外	5721	対象外	45.69	7.11	15.57	0.87	42.53	12.59	食料品	📈【S】 26/3期営業利益+75.0、増配、自社株買い、子会社化材料。 【ファンダメンタル確認値】現在値5721、PER45.69、PBR7.11、ROE15.57、配当利回り0.87、自己資本比率42.53、営業利益率12.59 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2809	キユーピー	未保有	対象外	4205	対象外	22.73	1.79	7.86	1.55	67.18	6.26	食料品	📈【A】 1Q営業利益+35.0、自社株式取得状況。 【ファンダメンタル確認値】現在値4205、PER22.73、PBR1.79、ROE7.86、配当利回り1.55、自己資本比率67.18、営業利益率6.26 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2810	ハウス食品グループ本社	未保有	対象外	3674	対象外	19.63	1.14	5.81	2.72	66.96	5.76	食料品	📈【B】 自己株式取得状況、投資有価証券売却益見込み。 【ファンダメンタル確認値】現在値3674、PER19.63、PBR1.14、ROE5.81、配当利回り2.72、自己資本比率66.96、営業利益率5.76 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2811	カゴメ	未保有	対象外	2581	対象外	17.41	1.23	7.08	2.25	52.59	7.69	食料品	➖【C】 2026/04/30 1Q決算、強材料は限定的。 【ファンダメンタル確認値】現在値2581、PER17.41、PBR1.23、ROE7.08、配当利回り2.25、自己資本比率52.59、営業利益率7.69 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2915	ケンコーマヨネーズ	未保有	対象外	2024	対象外	10.26	0.70	6.83	3.46	65.02	4.50	食料品	➖【C】 PBR0.70・配当3.46だが利益面弱め。 【ファンダメンタル確認値】現在値2024、PER10.26、PBR0.70、ROE6.83、配当利回り3.46、自己資本比率65.02、営業利益率4.50 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2928	ＲＩＺＡＰグループ	未保有	対象外	172	対象外	71.27	2.03	2.85	0.78	30.88	6.63	小売業	📈【A】 26/3期営業利益+488.9、純利益+445.5。 【ファンダメンタル確認値】現在値172、PER71.27、PBR2.03、ROE2.85、配当利回り0.78、自己資本比率30.88、営業利益率6.63 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3031	ラクーンホールディングス	未保有	対象外	569	対象外	36.77	2.64	7.17	3.87	21.60	20.08	情報・通信業	📈【B】 2026/06/11 新サービス開始、有償SO発行。 【ファンダメンタル確認値】現在値569、PER36.77、PBR2.64、ROE7.17、配当利回り3.87、自己資本比率21.60、営業利益率20.08 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3046	ジンズホールディングス	未保有	対象外	8120	対象外	21.98	5.59	25.45	1.42	56.46	12.44	小売業	📈【A】 月次と海外事業譲受け、ROE25.45。 【ファンダメンタル確認値】現在値8120、PER21.98、PBR5.59、ROE25.45、配当利回り1.42、自己資本比率56.46、営業利益率12.44 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3079	ディーブイエックス	未保有	対象外	993	対象外	32.28	1.18	3.65	5.04	35.37	0.53	卸売業	📉【D】 決算短信訂正と株式交換・親会社異動。 【ファンダメンタル確認値】現在値993、PER32.28、PBR1.18、ROE3.65、配当利回り5.04、自己資本比率35.37、営業利益率0.53 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3097	物語コーポレーション	未保有	対象外	4640	対象外	24.03	4.03	16.77	0.86	52.36	7.46	小売業	📈【B】 月次と子会社関連材料。 【ファンダメンタル確認値】現在値4640、PER24.03、PBR4.03、ROE16.77、配当利回り0.86、自己資本比率52.36、営業利益率7.46 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3099	三越伊勢丹ホールディングス	未保有	対象外	4119	対象外	23.49	2.33	9.94	1.94	50.82	14.66	小売業	📈【A】 自己株式取得状況、決算説明会資料。 【ファンダメンタル確認値】現在値4119、PER23.49、PBR2.33、ROE9.94、配当利回り1.94、自己資本比率50.82、営業利益率14.66 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3101	東洋紡	未保有	対象外	1648	対象外	13.01	0.68	7.00	2.43	33.99	6.62	繊維製品	📉【D】 業績予想と実績差異の開示。 【ファンダメンタル確認値】現在値1648、PER13.01、PBR0.68、ROE7.00、配当利回り2.43、自己資本比率33.99、営業利益率6.62 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3103	ユニチカ	未保有	対象外	1032	対象外	11.90	1.11	9.30	0.00	35.69	8.90	繊維製品	📉【D】 債務免除益と構造改善費用、無配。 【ファンダメンタル確認値】現在値1032、PER11.90、PBR1.11、ROE9.30、配当利回り0.00、自己資本比率35.69、営業利益率8.90 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3140	ＢＲＵＮＯ	未保有	対象外	1068	対象外	40.31	2.66	6.61	0.37	55.01	3.03	卸売業	➖【C】 減資、PER高め。 【ファンダメンタル確認値】現在値1068、PER40.31、PBR2.66、ROE6.61、配当利回り0.37、自己資本比率55.01、営業利益率3.03 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3141	ウエルシアホールディングス	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3178	チムニー	未保有	対象外	1056	対象外	81.49	3.18	3.90	0.47	40.34	1.86	小売業	➖【C】 月次ありだがPER高・ROE低。 【ファンダメンタル確認値】現在値1056、PER81.49、PBR3.18、ROE3.90、配当利回り0.47、自己資本比率40.34、営業利益率1.86 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3197	すかいらーくホールディングス	未保有	対象外	2769	対象外	32.29	3.31	10.26	0.94	36.47	6.54	小売業	📈【B】 月次IRレポート、1Q決算。 【ファンダメンタル確認値】現在値2769、PER32.29、PBR3.31、ROE10.26、配当利回り0.94、自己資本比率36.47、営業利益率6.54 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3391	ツルハホールディングス	未保有	対象外	1972	対象外	21.52	1.02	4.74	2.43	53.11	4.48	小売業	➖【C】 決算待ち、ROE低め。 【ファンダメンタル確認値】現在値1972、PER21.52、PBR1.02、ROE4.74、配当利回り2.43、自己資本比率53.11、営業利益率4.48 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3401	帝人	未保有	対象外	1631	対象外	6.99	0.86	12.35	3.07	39.61	-7.14	繊維製品	📈【B】 子会社配当受領、低PER・PBR1倍割れ。 【ファンダメンタル確認値】現在値1631、PER6.99、PBR0.86、ROE12.35、配当利回り3.07、自己資本比率39.61、営業利益率-7.14 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3407	旭化成	未保有	対象外	1794	対象外	15.21	1.17	7.66	2.45	50.47	7.52	化学	📈【B】 自己株式取得状況。 【ファンダメンタル確認値】現在値1794、PER15.21、PBR1.17、ROE7.66、配当利回り2.45、自己資本比率50.47、営業利益率7.52 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3543	コメダホールディングス	未保有	対象外	2746	対象外	18.11	2.51	13.84	2.26	45.17	16.47	卸売業	📈【A】 26/2期収益+21.61、営業利益+6.85。 【ファンダメンタル確認値】現在値2746、PER18.11、PBR2.51、ROE13.84、配当利回り2.26、自己資本比率45.17、営業利益率16.47 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3656	ＫＬａｂ	未保有	対象外	210	対象外	赤字	1.59	赤字	0.00	79.80	-19.02	情報・通信業	📉【D】 赤字・無配、ゲーム新作材料あり。 【ファンダメンタル確認値】現在値210、PER赤字、PBR1.59、ROE赤字、配当利回り0.00、自己資本比率79.80、営業利益率-19.02 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3661	エムアップホールディングス	未保有	対象外	645	対象外	12.94	4.82	37.28	3.72	29.70	15.78	情報・通信業	📈【A】 高ROE・配当3%台、通期予想公表。 【ファンダメンタル確認値】現在値645、PER12.94、PBR4.82、ROE37.28、配当利回り3.72、自己資本比率29.70、営業利益率15.78 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3807	フィスコ	未保有	対象外	87	対象外	221.45	5.78	2.61	0.00	31.21	0.48	情報・通信業	📉【D】 PER高・ROE低・無配。 【ファンダメンタル確認値】現在値87、PER221.45、PBR5.78、ROE2.61、配当利回り0.00、自己資本比率31.21、営業利益率0.48 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3878	巴川製紙所	未保有	対象外	795	対象外	17.32	0.44	2.55	1.89	34.69	4.55	パルプ・紙	➖【C】 PBR低いがROE弱い。 【ファンダメンタル確認値】現在値795、PER17.32、PBR0.44、ROE2.55、配当利回り1.89、自己資本比率34.69、営業利益率4.55 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3920	アイビーシー	未保有	対象外	972	対象外	12.56	2.24	17.86	2.26	63.23	23.50	情報・通信業	📈【B】 ROE良好だが強材料限定。 【ファンダメンタル確認値】現在値972、PER12.56、PBR2.24、ROE17.86、配当利回り2.26、自己資本比率63.23、営業利益率23.50 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
3994	マネーフォワード	未保有	対象外	3973	対象外	138.79	5.27	4.10	0.00	26.06	-5.27	情報・通信業	📈【B】 業績予想修正・優待導入だがPER高・無配。 【ファンダメンタル確認値】現在値3973、PER138.79、PBR5.27、ROE4.10、配当利回り0.00、自己資本比率26.06、営業利益率-5.27 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4088	エア・ウォーター	未保有	対象外	2778	対象外	赤字	1.43	赤字	2.70	38.56	6.99	化学	📉【D】 有報提出期限延長検討・調査委員会。 【ファンダメンタル確認値】現在値2778、PER赤字、PBR1.43、ROE赤字、配当利回り2.70、自己資本比率38.56、営業利益率6.99 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4188	三菱ケミカルグループ	未保有	対象外	1086	対象外	11.62	0.84	7.21	2.95	29.98	0.81	化学	📉【D】 26/3期営業利益-78.75。 【ファンダメンタル確認値】現在値1086、PER11.62、PBR0.84、ROE7.21、配当利回り2.95、自己資本比率29.98、営業利益率0.81 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4203	住友ベークライト	未保有	対象外	7616	対象外	23.45	1.92	8.21	1.58	71.71	11.09	化学	📈【B】 決算・株式報酬中心。 【ファンダメンタル確認値】現在値7616、PER23.45、PBR1.92、ROE8.21、配当利回り1.58、自己資本比率71.71、営業利益率11.09 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4229	群栄化学工業	未保有	対象外	4765	対象外	16.03	0.58	4.25	2.10	80.35	7.51	化学	➖【C】 PBR0.58・財務厚いがROE低め。 【ファンダメンタル確認値】現在値4765、PER16.03、PBR0.58、ROE4.25、配当利回り2.10、自己資本比率80.35、営業利益率7.51 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4293	セプテーニ・ホールディングス	未保有	対象外	455	対象外	17.98	1.44	8.01	3.96	64.69	13.99	サービス業	📈【B】 業績予想修正と子会社異動。 【ファンダメンタル確認値】現在値455、PER17.98、PBR1.44、ROE8.01、配当利回り3.96、自己資本比率64.69、営業利益率13.99 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4327	日本エス・エイチ・エル	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	サービス業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4385	メルカリ	未保有	対象外	3763	対象外	23.77	5.17	26.31	0.00	17.83	14.45	情報・通信業	📈【B】 業績予想修正・高ROEだが無配・高PBR。 【ファンダメンタル確認値】現在値3763、PER23.77、PBR5.17、ROE26.31、配当利回り0.00、自己資本比率17.83、営業利益率14.45 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4502	武田薬品工業	未保有	対象外	5087	対象外	48.41	1.08	2.23	4.01	47.90	7.48	医薬品	📉【D】 引当金計上・決算短信修正、ROE低い。 【ファンダメンタル確認値】現在値5087、PER48.41、PBR1.08、ROE2.23、配当利回り4.01、自己資本比率47.90、営業利益率7.48 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4528	小野薬品工業	未保有	対象外	2346	対象外	15.53	1.30	8.35	3.41	76.88	12.27	医薬品	📈【B】 財務安全性・配当良好。 【ファンダメンタル確認値】現在値2346、PER15.53、PBR1.30、ROE8.35、配当利回り3.41、自己資本比率76.88、営業利益率12.27 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4536	参天製薬	未保有	対象外	2045	対象外	16.45	2.21	13.47	2.05	70.20	16.39	医薬品	📈【B】 ROE・財務良好、決算中心。 【ファンダメンタル確認値】現在値2045、PER16.45、PBR2.21、ROE13.47、配当利回り2.05、自己資本比率70.20、営業利益率16.39 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4543	テルモ	未保有	対象外	2212	対象外	19.74	2.06	10.43	1.63	68.53	15.22	精密機器	📈【B】 安定収益、決算中心。 【ファンダメンタル確認値】現在値2212、PER19.74、PBR2.06、ROE10.43、配当利回り1.63、自己資本比率68.53、営業利益率15.22 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4555	沢井製薬	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	医薬品	➖【C】 旧沢井製薬。持株会社体制移行前の旧銘柄。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
